CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local
02004461110054701010000000U7,69525,ABARROTES LUPITA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,XICOTENCATL LEYVA ALEMAN,7569,,IGNACIO RAMIREZ,22637,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-117.02400684,32.47914956,,,
02004722514008991000000000U9,8362384,ACA LOS BURROS Y EL TACO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,2,3751,21,VILLAS DEL REAL,22205,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.86264738,32.50908262,CENTRO Y PLAZA COMERCIAL,VENECIA,21
02004722514000581000000000U6,147356,AEREO TORTAS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,76,1,,CENTRO URBANO70-76,22410,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.98486482,32.53704466,,,
02004722514006391000046705S4,8280322,AGUACATE,OPERADORA DE NEGOCIOS Y FRANQUICIA SA DE CV,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,PASEO DE LOS HEROES,9550,,PLAZA RIO,22000,"TIJUANA, Tijuana, BAJA CALIFORNIA",,G.AGUACATE01@GMAIL.COM,,Fijo,-117.02035941,32.52688037,,,
02001722514002481000000000S3,7622613,ALMACEN AUXILIAR TACOS BAJA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,SEXTA,578,,CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62385625,31.86818466,EDIFICIO COMERCIAL Y DE SERVICIOS,SEXTA Y GASTELUM,578
02002722514000051000000000S4,81797,ALMACEN LAS BRASAS,GRUPO MALIROCA SC DE RL DE CV,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ISLA DE MADAGASCAR,,,MONTE ALBAN,21340,"MEXICALI, Mexicali, BAJA CALIFORNIA",,KARLAGCALDERAS@GMAIL.COM,,Fijo,-115.47877643,32.62075229,,,
02001722514004251000000000S8,8304482,ALMACEN TACOS EL POBLANITO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,SEXTA,578,67,ZONA CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62385625,31.86818466,EDIFICIO COMERCIAL Y DE SERVICIOS,SEXTA Y GASTELUM,67
02004722514005462000000000U4,7017132,AMACUECA,SIMPLEMENTE BUENOS SANDWICHES SA DE CV,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,RIO BALSAS,9524,,MARRON,22045,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-117.02371885,32.52190257,,,
02004722514002751010000000U3,114521,ANDY S FISH TACOS,,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,ANDADOR,PRIMERA (ARTICULO 123),8310,,ZONA NORTE,22000,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-117.03519344,32.53726705,,,
02004722514008251000000000U8,7368554,ANTOJITOS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,QUINTA,256,0,EJIDO MATAMOROS,22204,"TIJUANA, Tijuana, BAJA CALIFORNIA",6645481916,,,Fijo,-116.85349604,32.51557723,,,
